haskell-unliftio-core 0.1.1.0-1
haskell-unordered-containers 0.2.8.0-9
haskell-uri-bytestring 0.3.1.0-2
haskell-utf8-string 1.0.1.1-6
haskell-uuid-types 1.0.3-11
haskell-vector 0.12.0.1-5
haskell-vector-algorithms 0.7.0.1-10
haskell-vector-th-unbox 0.2.1.6-7
haskell-void 0.7.2-5
haskell-x509 1.7.2-14
haskell-x509-store 1.6.5-14
haskell-x509-system 1.6.6-14
haskell-x509-validation 1.6.9-14
haskell-yaml 0.8.28-1
haskell-zip-archive 0.3.1.1-5
haskell-zlib 0.6.1.2-5
haveged 1.9.1-4
hdparm 9.52-1
hexchat 2.12.4-7
hicolor-icon-theme 0.17-1
hlint 2.0.11-15
hplip 3.17.11-1
hspell 1.4-1
htop 2.0.2-2
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.50-1
hyphen 2.8.8-1
i3-default-artwork 20180109-1
i3-gaps 4.14.1-2
i3-help 20180110-1
i3-scripts 20180114-1
i3-scrot 1.1-1
i3exit 20170616-1
i3lock 2.10-1
i3status-manjaro 2.11-3
iana-etc 20170824-1
icu 60.2-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.21-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inotify-tools 3.20.1-1
inputproto 2.3.2-1
intel-ucode 20180108-1
inxi 2.3.56-1
iproute2 4.14.1-2
iptables 1.6.1-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
irssi 1.1.0-1
iso-codes 3.76-1
isousb 1.5-2
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
js 24.2.0-4
json-c 0.13-1
json-glib 1.4.2-1
jsoncpp 1.8.4-1
kauth 5.42.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
kcoreaddons 5.42.0-1
keyutils 1.5.10-1
kitemmodels 5.42.0-1
kmod 24-1
krb5 1.16-1
ladspa 1.13-6
lame 3.100-1
lcms 1.19-6
lcms2 2.9-1
ldb 1.3.0-1
ldns 1.7.0-4
less 487-1
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.5-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.2-1
lib32-flex 2.6.4-1
lib32-gcc-libs 7.2.1+20171224-2
lib32-glew 2.1.0-1
lib32-glibc 2.26-10
lib32-glu 9.0.0-3
lib32-icu 60.1-1
lib32-libdrm 2.4.89-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libglvnd 1.0.0-1
lib32-libice 1.0.9-1
lib32-libpciaccess 0.14-1
lib32-libsm 1.2.2-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxml2 2.9.4+16+g07418011-2
lib32-libxmu 1.1.2-1
lib32-libxshmfence 1.2-1
lib32-libxt 1.1.5-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 5.0.1-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.3.2-2
lib32-mesa-demos 8.3.0-3
lib32-ncurses 6.0+20170902-1
lib32-nvidia-utils 1:384.111-1
lib32-primus 20151110-3
lib32-readline 7.0.003-1
lib32-util-linux 2.31-1
lib32-wayland 1.14.0-1
lib32-zlib 1.2.11-1
libabw 0.1.2-1
libaio 0.3.110-1
libappindicator-gtk2 12.10.0-12
libappindicator-gtk3 12.10.0-12
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.2-1
libavc1394 0.5.4-3
libblockdev 2.14-2
libbluray 1.0.1-1
libbsd 0.8.6-1
libbytesize 1.0-1
libcaca 0.99.beta19-1
libcacard 2.5.3-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-2
libcmis 0.5.1-8
libconfig 1.7.1-1
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.6-1
libcurl-compat 7.57.0-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbi 0.9.0-3
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk2 16.04.0-2
libdbusmenu-gtk3 16.04.0-2
libdc1394 2.2.5-1
libdca 0.0.5-5
libdmx 1.1.3-1
libdrm 2.4.89-1
libdv 1.0.0-7
libdvbpsi 1:1.3.1-1
libdvdcss 1.4.0-2
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.3-1
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libetonyek 0.1.7-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfm 1.2.5-2
libfm-extra 1.2.5-2
libfm-gtk2 1.2.5-2
libfontenc 1.1.3-1
libfreehand 0.1.2-1
libgcrypt 1.8.2-1
libgksu 2.0.12-8
libglade 2.6.4-5
libglvnd 1.0.0-1
libgme 0.6.1-1
libgnome-keyring 3.12.0-2
libgpg-error 1.27-1
libgphoto2 2.5.16-1
libgpod 0.8.3-5
libgtop 2.38.0+1+g487e584a-2
libgudev 232-1
libgusb 0.2.11-1
libical 3.0.1-1
libice 1.0.9-1
libicns 0.8.1-3
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0+66+g5a85432-1
libindicator-gtk2 12.10.1-7
libindicator-gtk3 12.10.1-7
libinput 1.9.4-1
libixion 0.12.2-4
libjpeg-turbo 1.5.3-1
libkate 0.4.1-5
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.45-4
liblouis 3.4.0-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.21-1
libmagick6 6.9.9.33-1
libmatroska 1.4.8-1
libmbim 1.14.2-1
libmm-glib 1.6.12-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.3-1
libmtp 1.1.14-1
libmwaw 0.3.13-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnftnl 1.0.8-1
libnghttp2 1.29.0-1
libnl 3.4.0-1
libnm 1.10.3dev+38+g78ef57197-1
libnm-glib 1.10.3dev+38+g78ef57197-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libofa 0.9.3-7
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
liborcus 0.12.1-4
libotf 0.9.13-2
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpeas 1.22.0-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.19.1-1
libpulse 11.1-1
libqmi 1.18.0-1
libraqm 0.3.0-2
libraw1394 2.1.2-1
libreoffice-fresh 5.4.4-1
librevenge 0.0.4-1
librsvg 2:2.42.0-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-2
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsigsegv 2.11-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.60.3-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:2.1.0-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.5-1
libstemmer 0+337-2
libsynctex 2017.44590-9
libsystemd 236.81-1
libtar 1.2.20-3
libtasn1 4.12-2
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-3
libtiff 4.0.9-1
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-2
libtxc_dxtn 1.0.1-6
libunistring 0.9.8-1
libunwind 1.2.1-1
libupnp 1.6.24-2
libusb 1.0.21-2
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-2
libutil-linux 2.31.1-1
libuv 1.19.0-2
libva 2.0.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-2
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.26-1
libwbclient 4.7.4-1
libwebp 0.6.1-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.8-1
libx11 1.6.5-1
libx264 2:152.20171224-1
libx264-all 2:152.20171224-1
libx86emu 1.12-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.3-1
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-2
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.3.0-1
libzmf 0.0.2-2
licenses 20171006-1
lightdm 1:1.24.0-3
lightdm-gtk-greeter 1:2.0.3-1
lightdm-gtk-greeter-settings 1.2.2-2
linux-api-headers 4.14.8-1
linux-firmware 20180104.65b1c68-1
linux414 4.14.14-1
linux414-bbswitch 0.8-13
linux414-nvidia 1:384.111-3
linux49 4.9.77-1
linux49-bbswitch 0.8-61
linux49-nvidia 1:384.111-3
llvm-libs 5.0.1-1
lm_sensors 3.4.0-2
logrotate 3.13.0-1
